Aerobics,Aerobics
Agility,Sự nhanh nhẹn
Agility drills,Bài tập nhanh nhẹn
Archery,Bắn cung
Archery bow,Cung bắn cung
Athlete,Vận động viên
Athlete monitoring,Giám sát vận động viên
Athletics,Điền kinh
Badminton,Cầu lông
Ball,Quả bóng
Basketball,Bóng rổ
Basketball hoop,Bảng sau của bóng rổ
Bat,"Vợt (bóng chày, bóng bàn)"
Bowling,Bowling
Boxing,Quyền Anh
Boxing gloves,Găng tay quyền Anh
Canoeing,Chèo thuyền
Cardiovascular exercise,Bài tập tim mạch
Cleats,Đinh chống trượt
Climbing,Leo núi
Climbing harness,Dây bảo hộ leo núi
Coach,Huấn luyện viên
Commitment,Cam kết
Competition,Cạnh tranh
Cool-down,Làm dịu cơ
Cricket,Bóng gậy
Cricket bat,Gậy cricket
Cross-training,Huấn luyện chéo
Cycling,Đạp xe
Dedication,Sự cống hiến
Defeat,Thất bại
Discipline,Kỷ luật
Dumbbell,Tạ đơn
Endurance,Sức bền
Fencing,Đấu kiếm
Fitness,Sức khỏe
Focus,Tập trung
Football,Bóng đá
Formula 1,Đua xe công thức 1
Gloves,Găng tay
Goalkeeper gloves,Găng tay thủ môn
Goalposts,Cột gôn
Golf,Đánh gôn
Golf club,Gậy golf
Gymnastics,Thể dục dụng cụ
Gymnastics rings,Vòng thể dục dụng cụ
Handball,Bóng ném
Helmet,Mũ bảo hiểm
Hockey,Khúc côn cầu
Hockey stick,Gậy khúc côn cầu
Horse racing,Đua ngựa
Ice hockey,Khúc côn cầu trên băng
Injury prevention,Phòng ngừa chấn thương
Interval training,Huấn luyện khoảng cách
Judo,Võ Judo
Karate,Karate
Kayaking,Chèo kayak
Martial arts,Võ thuật
Mental toughness,Sức mạnh tinh thần
Motivation,Động lực
Net,Lưới
Nutrition,Dinh dưỡng
Paddle,Cái chèo
Parachute,Dù lượn
Performance,Thành tích
Performance analysis,Phân tích thành tích
Pilates,Pilates
Plyometrics,Tập nhảy
Punching bag,Bao đấm
Racket,Vợt (quần vợt)
Recovery,Phục hồi
Recovery strategies,Chiến lược phục hồi
Rehabilitation,Phục hồi chức năng
Resilience,Sự kiên cường
Rowing,Chèo thuyền đua
Rugby,Bóng bầu dục
Running,Chạy
Saddle,Yên xe đạp
Sailing,Lướt sóng trên biển
Shoes,Giày
Skateboard,Ván trượt
Skateboarding,Trượt ván
Ski boots,Giày trượt tuyết
Skiing,Trượt tuyết
Skipping rope,Dây nhảy
Snorkeling,Lặn ống thở
Snowboard bindings,Đai cố định trượt tuyết ván
Snowboarding,Trượt tuyết ván
Speed,Tốc độ
Speed drills,Bài tập tốc độ
Sports biomechanics,Cơ học thể thao
Sports medicine,Y học thể thao
Sports nutrition supplements,Thực phẩm bổ sung
Sports nutritionist,Chuyên gia dinh dưỡng thể thao
Sports performance testing,Kiểm tra hiệu suất thể thao
Sports psychology,Tâm lý học thể thao
Sports science,Khoa học thể thao
Sports therapy,Vật lý trị liệu thể thao
Sportsmanship,Tinh thần thể thao
Stamina,Khả năng chịu đựng
Starting blocks,Khối khởi động (đường chạy)
Strength,Sức mạnh
Strength and conditioning,Tăng cường thể lực
Strength training,Huấn luyện sức mạnh
Stretching,Tập duỗi cơ
Surf lifesaving,Cứu hộ lướt sóng
Surfboard,Ván lướt sóng
Surfing,Lướt sóng
Swim fins,Vây bơi
Swimming,Bơi lội
Swimming goggles,Kính bơi
Synchronized swimming,Bơi nghệ thuật
Table tennis,Bóng bàn
Taekwondo,Taekwondo
Tennis,Quần vợt
Tennis racket,Vợt quần vợt
Track spikes,Đinh chạy điền kinh
Training,Huấn luyện
Training camp,Trại huấn luyện
Training equipment,Thiết bị huấn luyện
Training program,Chương trình huấn luyện
Triathlon,Ba môn phối hợp
Ultra marathon,Marathon siêu dài
Victory,Chiến thắng
Volleyball,Bóng chuyền
Volleyball net,Lưới bóng chuyền
Warm-up,Làm nóng cơ
Weightlifting,Cử tạ
Weightlifting barbell,Thanh tạ
Wetsuit,Đồ lặn
Wrestling,Vật
Yoga,Yoga
Yoga mat,Thảm yoga
