A cliff-hanger,"Kết thúc gây cấn, căng thẳng"
A crowd-pleaser,"Một tác phẩm/hiệu ứng làm hài lòng đám đông"
A gig/show,Buổi biểu diễn
A musical,Vở nhạc kịch
A play,Vở kịch
A popcorn movie,Một bộ phim giải trí nhẹ nhàng
A sell-out,"Bán hết vé, bán cháy"
Absorbing,"Cuốn hút, lôi cuốn"
Actor,Diễn viên nam
Actress,Diễn viên nữ
Advertising,Quảng cáo
Album,Album
Animation,Hoạt hình
Art,Nghệ thuật
Artificial,Nhân tạo
Assert,"Khẳng định, xác nhận"
Associate,"Liên kết, kết nối"
Audience,Khán giả
Award,Giải thưởng
Background music,Nhạc nền
Blockbuster,Phim bom tấn
Box office,Phòng vé
Broadcast,"Truyền hình, phát sóng"
Broadcaster,Nhà phát sóng
Cameo,Vai phụ ngắn
Celebrity,Người nổi tiếng
Censor,"Kiểm duyệt, kiểm soát nội dung"
Classical,Cổ điển
Comedy,Hài kịch
Concert,Buổi hòa nhạc
Couch potato,Người thích chỉ ngồi xem TV
Critical acclaim,Sự khen ngợi từ giới phê bình
Critics,Nhà phê bình
Director,Đạo diễn
Distorted,"Bị méo mó, bị xuyên tạc"
Documentary,Phim tài liệu
Drama,"Kịch, phim tâm lý"
Dubbed,Được lồng tiếng
Electronic,Điện tử
Entertainment industry,Ngành giải trí
Expose,"Tiết lộ, vạch trần"
Fame,Sự nổi tiếng
Fan base,Người hâm mộ
Film,Bộ phim
Folk,"Dân ca, nhạc dân gian"
Gameshow,Trò chơi truyền hình
Gaming,Trò chơi điện tử
Genres,Thể loại
Heart-warming,"Làm ấm lòng, yêu đời"
Heavy metal,Nhạc heavy metal
Hit the big time,"Thành công lớn, đạt đến đỉnh cao"
Ideology,"Hệ tư tưởng, ý thức chính trị"
In the limelight,"Trong ánh đèn sân khấu, được chú ý"
Influence,Ảnh hưởng
Jazz,Nhạc jazz
Journalist,Nhà báo
Lyrics,Lời bài hát
Magazine,Tạp chí
Media coverage,Phủ sóng truyền thông
Media industry,Ngành truyền thông
Melody,Giai điệu
Movie,Phim
Music,Âm nhạc
Mystery,Bí ẩn
News,Tin tức
On the edge of your seat,"Cảm thấy lo lắng, hồi hộp"
Orchestra,Dàn nhạc
Overrated,Được đánh giá cao hơn thực tế
Overshadow,"Lấn át, che khuất"
Paparazzi,Những người săn ảnh
Performance,Buổi biểu diễn
Play by ear,"Chơi theo cảm nhận, không kịch bản"
Podcast,Chương trình phát thanh trực tuyến
Pop culture,Văn hóa đại chúng
Posthumous,Sau khi chết/mất
Prejudiced,"Có thành kiến, định kiến"
Premiere,Buổi ra mắt
Press conference,Họp báo
Producer,Nhà sản xuất
Public figure,"Công chúng, người nổi tiếng"
Publicity,Sự quảng bá
Publicize,"Quảng bá, công khai"
Put something on,"Phát sóng, chiếu cái gì đó"
Radio,Đài phát thanh
Ratings,"Đánh giá, xếp hạng"
Reality show,Chương trình truyền hình thực tế
Record label,Hãng thu âm
Red carpet,Thảm đỏ
Reggae,Nhạc reggae
Relevance,"Tính liên quan, thích hợp"
Screenplay,Kịch bản
Showbiz,Giới giải trí
Showstopper,"Điểm nhấn, màn trình diễn ấn tượng"
Singer,Ca sĩ
Social media,Mạng xã hội
Songwriter,Nhạc sĩ sáng tác
Soundtrack,Nhạc phim
Stage,Sân khấu
Star,Ngôi sao
Star-studded,Có nhiều ngôi sao nổi tiếng
Stardom,"Sự nổi tiếng, sự làm ngôi sao"
Steal the show,Thu hút sự chú ý
Streaming,Phát trực tuyến
Streaming platforms,Các nền tảng phát trực tuyến
Subtitles,Phụ đề
Tabloid,Báo lá cải
Take up,"Bắt đầu làm, tham gia"
Talk show,Chương trình nói chuyện
Television,Truyền hình
Theater,Rạp hát
Thriller,"Phim kinh dị, tiểu thuyết căng thẳng"
To be tone-deaf,Không có khả năng nghe/cảm nhận nhạc
To binge watch,"Xem liên tục, nhiều tập một lúc"
To chill,"Thư giãn, nghỉ ngơi"
To improvise,"Tự do sáng tạo, biểu diễn"
Unbiased,Không thiên vị
Universal,"Phổ biến, toàn cầu"
Venue,"Địa điểm, nơi tổ chức"
