a blue-collar worker,Người làm việc chân tay
a white-collar worker,Nhân viên văn phòng
Application,Đơn xin việc
Benefits,Phúc lợi
Bonus,Tiền thưởng
Break,Giờ nghỉ
Career,Sự nghiệp
Career counseling,Tư vấn nghề nghiệp
Co-working space,Không gian làm việc chung
Colleague,Đồng nghiệp
Commute,Đi làm
Contract,Hợp đồng
Cover letter,Thư xin việc
Cubicle,Văn phòng riêng biệt
Cultural fit,Phù hợp văn hóa
Curriculum vitae (CV),Sơ yếu lý lịch
Development,Phát triển
Downsizing,Thu nhỏ quy mô
Employee,Nhân viên
Employee assistance program,Chương trình hỗ trợ nhân viên
Employee benefits,Phúc lợi cho nhân viên
Employee engagement,Sự tương tác của nhân viên
Employer,Nhà tuyển dụng
Employment,Việc làm
Entrepreneur,Doanh nhân
Equal pay,Lương bình đẳng
Evaluation,Đánh giá
Experience,Kinh nghiệm
Flexibility,Tính linh hoạt
Flextime,Thời gian làm việc linh hoạt
Freelancer,Người làm nghề tự do
Full-time,Toàn thời gian
Gender equality,Bình đẳng giới tính
Glass ceiling,Rào cản thăng tiến
Grievance procedure,Quy trình khiếu nại
Incentive,Động cơ (khuyến khích)
Industrial action,Đình công
Interview,Phỏng vấn
Job,Công việc
Job board,Bảng thông tin việc làm
Job description,Mô tả công việc
Job enrichment,Bổ sung công việc
Job market,Thị trường việc làm
Job rotation,Luân chuyển công việc
Job satisfaction,Sự hài lòng với công việc
Job search,Tìm kiếm việc làm
Job security,An ninh công việc
Job sharing,Chia sẻ công việc
Layoff,Sa thải
Lunch break,Giờ nghỉ trưa
Maternity/paternity leave,Nghỉ thai sản/ nghỉ phép vợ sinh
Mentor,Người hướng dẫn
Networking,Mạng lưới quan hệ
Non-disclosure agreement,Hợp đồng không tiết lộ thông tin
Occupation,Nghề nghiệp
Occupational hazard,Rủi ro nghề nghiệp
Office,Văn phòng
Outsourcing,Việc thuê ngoài
Overtime,Làm thêm giờ
Part-time,Bán thời gian
Payroll,Bảng lương
Pension,Tiền lương hưu
Performance,Hiệu suất (thành tích)
Performance appraisal,Đánh giá hiệu suất làm việc
Performance management,Quản lý hiệu suất làm việc
Permanent,Vĩnh viễn
Profession,Chức nghiệp
Professional growth,Phát triển chuyên môn
Promotion,Thăng tiến
Qualifications,Trình độ (bằng cấp)
Raise,Tăng lương
Recruitment,Tuyển dụng
Redundancy,Thừa nhân lực
Remote team,Nhóm làm việc từ xa
Remote work,Làm việc từ xa
Resignation,Sự từ chức
Resume,Sơ yếu lý lịch
Retirement plan,Kế hoạch nghỉ hưu
Salary,Lương
Self-employed,Tự làm chủ
Severance package,Gói hỗ trợ khi chấm dứt hợp đồng
Shift work,Làm việc theo ca
Sick leave,Nghỉ ốm
Skills,Kỹ năng
Staffing,Quản lý nhân sự
Succession planning,Kế hoạch thành công
Talent acquisition,Tuyển dụng nhân tài
Teamwork,Làm việc nhóm
Telecommuting,Làm việc từ xa
Temporary,Tạm thời
Time clock,Máy chấm công
Training,Đào tạo
Unemployment,Thất nghiệp
Union,Công đoàn
Wage,Tiền công
Work environment,Môi trường làm việc
Work permit,Giấy phép làm việc
Work-life balance,Cân bằng công việc và cuộc sống
Work-life boundaries,Giới hạn giữa công việc và cuộc sống
Work-life integration,Hòa nhập công việc và cuộc sống
Work-related injury,Chấn thương liên quan đến công việc
Workforce,Lực lượng lao động
Workforce diversity,Đa dạng nhân lực
Workforce planning,Kế hoạch nhân lực
Working hours,Giờ làm việc
Workload,Khối lượng công việc
Workplace,Nơi làm việc
Workplace conflict,Xung đột trong nơi làm việc
