Alternative,Thay thế
Battery,"Pin, ắc quy"
Biofuel,Nhiên liệu sinh học
Biomass,Sinh khối
Carbon,Carbon
Carbon emissions,Khí thải carbon
Carbon footprint,Dấu chân carbon
Carbon pricing,Định giá carbon
Coal,Than
Conservation,Bảo tồn
Cybersecurity,Bảo mật mạng
Decentralized energy,Năng lượng phân tán
Distributed energy resources,Nguồn năng lượng phân tán
Distribution,Phân phối
Diversification,Sự đa dạng hóa
Efficiency,Hiệu suất
Electricity,Điện
Emergency preparedness,Sự chuẩn bị khẩn cấp
Emissions,Khí thải
Energetic,Năng động
Energy,Năng lượng
Energy affordability,Khả năng tiếp cận năng lượng
Energy analysis,Phân tích năng lượng
Energy audit,Kiểm tra năng lượng
Energy awareness,Nhận thức về năng lượng
Energy balance,Cân bằng năng lượng
Energy conservation,Bảo tồn năng lượng
Energy conservation measures,Biện pháp bảo tồn năng lượng
Energy consumption,Tiêu thụ năng lượng
Energy conversion,Chuyển đổi năng lượng
Energy crisis,Khủng hoảng năng lượng
Energy demand,Nhu cầu năng lượng
Energy demand management,Quản lý nhu cầu năng lượng
Energy development,Phát triển năng lượng
Energy diplomacy,Ngoại giao năng lượng
Energy diversification,Sự đa dạng hóa nguồn năng lượng
Energy economics,Kinh tế năng lượng
Energy efficiency,Hiệu suất năng lượng
Energy efficiency rating,Đánh giá hiệu suất năng lượng
Energy governance,Quản lý năng lượng
Energy harvesting,Thu hoạch năng lượng
Energy independence,Tự do năng lượng
Energy industry,Ngành công nghiệp năng lượng
Energy infrastructure,Cơ sở hạ tầng năng lượng
Energy infrastructure investment,Đầu tư hạ tầng năng lượng
Energy innovation,Đổi mới năng lượng
Energy intelligence,Thông tin tình báo về năng lượng
Energy interconnections,Mạng lưới kết nối năng lượng
Energy investment,Đầu tư vào năng lượng
Energy management,Quản lý năng lượng
Energy management system,Hệ thống quản lý năng lượng
Energy market,Thị trường năng lượng
Energy market deregulation,Tháo gỡ quy định thị trường năng lượng
Energy mix,Tổ hợp năng lượng
Energy modeling,Mô hình hóa năng lượng
Energy monitoring,Giám sát năng lượng
Energy planning,Lập kế hoạch năng lượng
Energy policy,Chính sách năng lượng
Energy poverty,Đói nghèo năng lượng
Energy prices,Giá năng lượng
Energy recovery,Tái chế năng lượng
Energy regulations,Quy định về năng lượng
Energy research,Nghiên cứu về năng lượng
Energy resources,Tài nguyên năng lượng
Energy sector,Ngành năng lượng
Energy security,An ninh năng lượng
Energy services,Dịch vụ năng lượng
Energy source,Nguồn năng lượng
Energy storage,Lưu trữ năng lượng
Energy storage technologies,Công nghệ lưu trữ năng lượng
Energy subsidy,Trợ cấp năng lượng
Energy supply,Cung cấp năng lượng
Energy technology,Công nghệ năng lượng
Energy trade,Thương mại năng lượng
Energy transformation,Biến đổi năng lượng
Energy transition,Chuyển đổi năng lượng
Energy-saving,Tiết kiệm năng lượng
Fossil fuels,Nhiên liệu hóa thạch
Fuel,Nhiên liệu
Gas,Khí
Generator,Máy phát điện
Geopolitics,Chính trị địa chính
Geothermal,Nhiệt đới
Grid,Lưới điện
Grid integration,Tích hợp mạng lưới
Grid reliability,Đáng tin cậy của lưới điện
Hydropower,Thủy điện
Infrastructure protection,Bảo vệ cơ sở hạ tầng
Insulation,Cách nhiệt
Kilowatt,Kilowatt (Đơn vị đo)
Megawatt,Megawatt (Đơn vị đo)
Net-zero emissions,Khí thải bằng không
Nuclear,Hạt nhân
Oil,Dầu
Photovoltaic,Quang điện
Power,"Điện năng, sức mạnh"
Power plant,Nhà máy điện
Renewable,Tái tạo
Renewable energy,Năng lượng tái tạo
Renewable energy credits,Chứng chỉ năng lượng tái tạo
Resilience,"Sự ổn định, sự phục hồi"
Risk assessment,Đánh giá rủi ro
Smart grid,Lưới điện thông minh
Solar,Mặt trời
Strategic reserves,Dự trữ chiến lược
Supply chain,Chuỗi cung ứng
Sustainable,Bền vững
Thermal,Nhiệt
Tidal,Thủy triều
Transmission,Truyền tải
Turbine,Tuabin
Wave,Sóng
Wind,Gió
