Academic,Học thuật
Academic achievement,Thành tích học tập
Academic calendar,Lịch học tập
Active learning,Học tập tích cực
Art,Môn nghệ thuật
Assessment,Đánh giá
Assignment,Bài tập
Biology,Sinh học
Boarding school,Trường nội trú
Chemistry,Hóa học
Civil education,Giáo dục công dân
Classroom,Phòng học
Classroom behavior,Hành vi trong lớp học
Classroom management,Quản lý lớp học
College,Trường cao đẳng
Cooperative learning,Học tập hợp tác
Critical thinking,Tư duy phản biểu
Curriculum,Chương trình học
Degree,"Bằng cử nhân/Thạc sĩ/Tiến sĩ"
Diploma,Bằng cấp
Discipline,Kỷ luật
Distance education,Giáo dục từ xa
Drop-out,Bỏ học
Drop-out rate,Tỷ lệ bỏ học
E-learning,Học trực tuyến
Educational institution,Cơ sở giáo dục
Educational psychology,Tâm lý học giáo dục
Educational technology,Công nghệ giáo dục
English,Tiếng Anh
Enroll,Ghi danh
Exam,Kỳ thi
Extracurricular activities,Hoạt động ngoại khóa
Field trip,Chuyến tham quan
Geography,Địa lý
Gifted education,"Giáo dục cho học sinh giỏi, năng khiếu"
Grading,Chấm điểm
Graduation,Lễ tốt nghiệp
Grants,Các khoản trợ cấp
High school,Trường trung học phổ thông
Higher education,Giáo dục đại học
History,Lịch sử
Homework,Bài tập về nhà
Inclusive education,Giáo dục bao gồm tất cả
Instruction,Hướng dẫn
Individualized instruction,Hướng dẫn cá nhân hóa
Instructive,Có tính giảng dạy
Intellectual,Trí thức
Intellectual development,Phát triển trí tuệ
Kindergarten,Trường mẫu giáo
Knowledge,Kiến thức
Learning disabilities,Khuyết tật học tập
Lecture,Bài giảng
Lecture hall,Hội trường giảng đường
Lecture notes,Ghi chú bài giảng
Lecture series,Chuỗi bài giảng
Library,Thư viện
Literacy,"Biết đọc, biết viết"
Literacy rate,"Tỷ lệ biết đọc, biết viết"
Literacy skills,Kỹ năng đọc và viết
Literature,Văn học
Major,Ngành học chính
Math,Môn toán học
Minor,Ngành học phụ
Numeracy,"Biết số, tính toán"
Numeracy skills,Kỹ năng số học
Online course,Khóa học trực tuyến
Online learning,Học trực tuyến
Online library,Thư viện trực tuyến
Open educational resources,Tài liệu giáo dục mở
Pedagogical,Thuộc về giáo dục
Pedagogy,Nghiên cứu giảng dạy
Peer group,Nhóm bạn đồng trang lứa
Peer learning,Học tập qua bạn bè
Physical Education (PE),Giáo dục thể chất
Physics,Vật lý
Plagiarism,Đạo văn
Preschool education,Giáo dục mầm non
Primary education,Giáo dục tiểu học
Primary school,Trường tiểu học
Principal,Hiệu trưởng
Private school,Trường tư thục
Remote learning,Học từ xa
Research,Nghiên cứu
Research paper,Bài nghiên cứu
Scholar,Học giả
Scholarly,Học thuật
Scholarships,Học bổng
School,Trường học
School administration,Quản lý giáo dục
School board,Ban giám hiệu
School counselor,Cố vấn học tập
School supplies,Dụng cụ học tập
Secondary education,Giáo dục trung học
Secondary school,Trường trung học
Special needs,Nhu cầu đặc biệt
Standardized test,Bài kiểm tra tiêu chuẩn
Student,Sinh viên
Student engagement,Sự tham gia của học sinh
Student loan,Khoản vay sinh viên
Study abroad,Du học
Syllabus,Chương trình học phần
Teacher,Giáo viên
Test,Bài kiểm tra
Tutor,Gia sư
Undergraduate,Sinh viên đại học
University,Đại học
Virtual classroom,Lớp học ảo
Vocational training,Đào tạo nghề
Well-rounded education,Giáo dục toàn diện
Workshop,Hội thảo
