Aerosol transmission,Lây truyền qua giọt bắn
Antibody,Kháng thể
Antigen,Chất kháng nguyên
AstraZeneca,Vắc-xin AstraZeneca
Asymptomatic,Không có triệu chứng
Booster shot,Mũi tiêm bổ sung
Breakthrough infection,Nhiễm trùng xuyên qua miễn dịch
Case surge,Sự tăng mạnh số ca nhiễm
Community spread,Lây lan trong cộng đồng
Contact tracing,Theo dõi tiếp xúc
Contactless delivery,Giao hàng không tiếp xúc
Contagious,Lây lan
Coronavirus,Vi-rút Corona
COVID-19 restrictions,Hạn chế COVID-19
Delta Plus variant,Biến thể Delta Plus
Delta variant,Biến thể Delta
Delta variant surge,Sự gia tăng biến thể Delta
Delta variant wave,Sóng biến thể Delta
Disinfection,Khử trùng
Drive-through testing,Xét nghiệm nhanh
Emergency use authorization,Ủy quyền sử dụng khẩn cấp
Epidemiological surveillance,Giám sát dịch tễ học
Epidemiology,Dễ tễ học
Essential workers,Công nhân thiết yếu
Face mask,Mặt nạ
Frontline workers,Cán bộ y tế hàng đầu
Global health crisis,Khủng hoảng sức khỏe toàn cầu
Hand hygiene,Vệ sinh tay
Healthcare system,Hệ thống chăm sóc sức khỏe
Herd effect,Hiệu ứng cộng đồng
Herd immunity,Miễn dịch cộng đồng
Herd immunity threshold,Ngưỡng miễn dịch cộng đồng
ICU (Intensive Care Unit),Đơn vị chăm sóc tích cực
Immunity,Miễn dịch
Immunocompromised,Hệ miễn dịch suy yếu
Infection,Nhiễm trùng
Infection control,Kiểm soát nhiễm trùng
Inflammation,Viêm
Inoculation,Tiêm chủng
Isolation,Cách ly
Isolation period,Thời gian cách ly
Isolation wards,Phòng cách ly
Lockdown,Phong tỏa
Lockdown fatigue,Mệt mỏi do phong tỏa
Long COVID,COVID kéo dài
Mask mandate,Yêu cầu đeo khẩu trang
Mask-wearing compliance,Tuân thủ đeo khẩu trang
Mass vaccination centers,Trung tâm tiêm chủng đại trà
Moderna vaccine,Vắc-xin Moderna
mRNA vaccine,Vắc-xin mRNA
Online learning,Học trực tuyến
Outbreak,Bùng phát
Oxygen,Oxy
Pandemic,Đại dịch
Pandemic fatigue,Mệt mỏi do đại dịch
Pandemic recovery,Phục hồi sau đại dịch
Pandemic response,Phản ứng đại dịch
Pfizer vaccine,Vắc-xin Pfizer
PPE (Personal Protective Equipment),Trang thiết bị bảo hộ cá nhân
Public health guidelines,Hướng dẫn về sức khỏe công cộng
Public health measures,Biện pháp y tế công cộng
Quarantine,Cách ly
Quarantine fatigue,Mệt mỏi do cách ly
Quarantine protocols,Quy định cách ly
Rapid antigen testing,Xét nghiệm kháng nguyên nhanh
Remote schooling,Học từ xa
Remote work,Làm việc từ xa
Respiratory,Hô hấp
Respiratory distress,Khó thở
Respiratory droplets,Giọt nước bọt hô hấp
Return to normalcy,Trở lại bình thường
Safe reopening,Mở cửa an toàn
SARS-CoV-2,Vi-rút SARS-CoV-2
Side effects,Tác dụng phụ
Social bubbles,Nhóm xã hội nhỏ
Social distancing,Giữ khoảng cách xã hội
Spread prevention,Phòng ngừa lây lan
Super spreader event,Sự kiện lây lan siêu tốc
Symptoms,Triệu chứng
Telemedicine,Y tế từ xa
Temperature screening,Kiểm tra nhiệt độ
Testing,Kiểm tra
Transmission,Truyền nhiễm
Travel restrictions,Hạn chế đi lại
Vaccination,Tiêm chủng
Vaccination campaign,Chiến dịch tiêm chủng
Vaccination passport,Hộ chiếu tiêm chủng
Vaccine distribution,Phân phối vắc-xin
Vaccine hesitancy,Sự do dự với vắc-xin
Variant,Biến thể
Variants of concern (VOCs),Biến thể đáng lo ngại
Variants of interest (VOIs),Biến thể đáng quan tâm
Ventilation,Quạt thông gió
Ventilator,Máy thông khí
Viral load,Lượng virus
Viral mutation,Đột biến virus
Wearing masks indoors,Đeo khẩu trang trong nhà
Zoom meetings,Cuộc họp trực tuyến qua Zoom
