Action,Hành động
Actor,Diễn viên nam
Actress,Diễn viên nữ
Adventure,Phiêu lưu
Animation,Phim hoạt hình
Antagonist,Nhân vật phản diện
Art direction,Đạo diễn nghệ thuật
Art film,Phim nghệ thuật
Award,Giải thưởng
Blockbuster,Phim bom tấn
Box office,Doanh thu phòng vé
Cameo,Vai diễn nhỏ
Camera,Máy quay phim
Casting,Sự lựa chọn diễn viên
Censorship,Kiểm duyệt
Character,Nhân vật
Cinematic,Liên quan đến điện ảnh
Cinematic experience,Trải nghiệm điện ảnh
Cinematic universe,Vũ trụ điện ảnh
Cinematography,Kỹ thuật quay phim
Close-up,"Gần mặt, gần cận"
Comedy,Hài kịch
Costume,Trang phục
Critic,Nhà phê bình
Cult film,Phim kịch tính
deeply touched,Cảm động sâu sắc
Dialogue,Đoạn hồi thoại
Directed,Được đạo diễn bởi
Directing,Đạo diễn
Director,Đạo diễn
Distribution,Phân phối
Documentary,Phim tài liệu
Drama,"Kịch, phim tâm lý"
Editing,Biên tập phim
Exhibition,Trình chiếu
Fantasy,"Phim kỳ ảo, giả tưởng"
Film,Bộ phim
Film analysis,Phân tích phim
Film archive,Lưu trữ phim
Film budget,Ngân sách phim
Film buff,Người yêu thích phim
Film censorship,Kiểm duyệt phim
Film crew,Đoàn làm phim
Film criticism,Nhận xét phim
Film distribution,Phân phối phim
Film enthusiast,Người đam mê phim
Film festival,Liên hoan phim
Film history,Lịch sử điện ảnh
Film industry,Công nghiệp điện ảnh
Film marketing,Tiếp thị phim
Film noir,Phim trinh thám tăm tối
Film poster,Áp phích phim
Film premiere,Buổi công chiếu phim
Film production,Sản xuất phim
Film promotion,Quảng bá phim
Film rating,Đánh giá phim
Film restoration,Khôi phục phim
Film review,Đánh giá phim
Film school,Trường đào tạo điện ảnh
Film set,Địa điểm quay phim
Film theory,Lý thuyết điện ảnh
Filmography,Danh sách phim đã tham gia
Financing,Tài trợ
Foreign film,Phim nước ngoài
Frame,Khung hình
Genre,Thể loại
gripping drama,Kịch tính hấp dẫn
Horror,Phim kinh dị
Independent,Độc lập sản xuất
inspiration,Nguồn cảm hứng
Lasting impression,Ấn tượng lâu dài
Lighting,"Ánh sáng, chiếu sáng"
Location scouting,Tìm địa điểm quay
Long shot,"Xa, toàn cảnh"
Make-up,Trang điểm
Marketing and promotion,Tiếp thị và quảng bá
Message,Thông điệp
Montage,"Thành phẩm, cắt ghép"
Movie,Bộ phim
Music composition,Sáng tác nhạc
On-screen chemistry,Hợp tác diễn xuất trên màn ảnh
Perspective,Quan điểm
Plot,Cốt truyện
Plot twist,Sự thay đổi bất ngờ trong cốt truyện
Post-production,Hậu sản xuất
Powerful themes,Chủ đề mạnh mẽ
Pre-production,Chuẩn bị sản xuất
Premiere,Buổi ra mắt phim
Prequel,Phần tiền truyện
Producer,Nhà sản xuất
Production,Sản xuất
Production design,Thiết kế sản xuất
profound impact,Tác động sâu sắc
Protagonist,Nhân vật chính
recommend,Khuyến nghị
Red carpet,Thảm đỏ
Reflect,Suy ngẫm
Rehearsal,Buổi diễn tập
Release,Ra mắt
Remake,Làm lại phim
Remarkable bond,Mối liên kết đáng chú ý
Revolves around,Xoay quanh
Romance,Phim tình cảm
Science fiction,Phim khoa học viễn tưởng
Score,Nhạc phim
Screen,"Màn hình, màn chiếu"
Screenplay,Kịch bản
Screenwriting,Viết kịch bản
Script,Kịch bản
Scriptwriting,Viết kịch bản
Sequel,Phần tiếp theo
Set,"Bối cảnh, hậu trường"
Silent film,Phim câm
Sound design,Thiết kế âm thanh
Sound editing,Biên tập âm thanh
Sound recording,Ghi âm
Soundtrack,Nhạc nền
Special effects,Hiệu ứng đặc biệt
Storyboard,Bản phác thảo kịch bản
Stunt,Pha hành động nguy hiểm
Supporting role,Vai phụ
Sustains,Duy trì
Thriller,"Phim ly kỳ, hồi hộp"
Timeless masterpiece,Kiệt tác vượt thời gian
Tracking shot,Quay chuyển động
Visual effects (VFX),Hiệu ứng hình ảnh
