A household name,Một cái tên rất nổi tiếng
A-list,Các ngôi sao hàng đầu
Admiration,Sự ngưỡng mộ
Admired,Được ngưỡng mộ
Ambitious,"Tham vọng, khát vọng thành công"
Appreciation,"Sự đánh giá cao, cảm kích"
Artistic,Có tính nghệ thuật
Authentic,"Chân thực, đáng tin cậy"
Autograph,Chữ ký người nổi tiếng
Beauty treatments,"Điều trị làm đẹp, liệu pháp làm đẹp"
Brand endorsements,"Tài trợ thương hiệu, ủng hộ thương hiệu"
Burnout,"Kiệt sức, mệt mỏi"
Busy,Bận rộn
Buzz,Sự tạo ra sự chú ý
Caring,"Quan tâm, chu đáo"
Celebrity,Người nổi tiếng
Celebrity culture,Văn hóa người nổi tiếng
Celebrity endorsement,Sự ủng hộ từ người nổi tiếng
Celebrity friendships,Tình bạn trong giới nổi tiếng
Celebrity gossip,Tin đồn về người nổi tiếng
Celebrity news,Tin tức về người nổi tiếng
Celebrity status,Địa vị người nổi tiếng
Charismatic,"Quyến rũ, có sức hút"
Charitable,"Hào phóng, từ thiện"
Charity gala,Buổi tiệc từ thiện
Charming,"Quyến rũ, duyên dáng"
Confident,Tự tin
Consistent,"Nhất quán, kiên định"
Cost a fortune,"Xa xỉ, đắt đỏ"
Designer clothes,Quần áo cao cấp
Diligent,"Siêng năng, cẩn thận"
Energetic,"Năng động, tràn đầy năng lượng"
Engaging,"Lôi cuốn, hấp dẫn"
Entertaining,"Giải trí, vui nhộn"
Entourage,Tập thể người theo sát
Exclusive,"Độc quyền, riêng biệt"
Exclusive content,Nội dung độc quyền
Exotic,"Kỳ lạ, ngoại lai"
Expensive hobbies,Sở thích xa hoa
Expensive vacations,Kỳ nghỉ đắt tiền
Exploitation,"Sự khai thác, lợi dụng"
Extravagance,"Sự phung phí, xa hoa"
Extravagant,"Phung phí, hoang phí"
Fame,Sự nổi tiếng
Fame-seeker,Người tìm kiếm sự nổi tiếng
Fame-driven,Được thúc đẩy bởi sự nổi tiếng
Fan base,Cộng đồng người hâm mộ
Fan engagement,Sự tương tác với người hâm mộ
Fan event,Sự kiện dành cho người hâm mộ
Fan harassment,Quấy rối từ người hâm mộ
Fan mail,Thư từ người hâm mộ
Fan meeting,Buổi gặp gỡ người hâm mộ
Fan merchandise,Vật phẩm dành cho người hâm mộ
Fan request,Yêu cầu từ người hâm mộ
Fan service,Đáp ứng mong muốn người hâm mộ
Fan support,Sự hỗ trợ từ người hâm mộ
Fan-generated content,Nội dung do người hâm mộ tạo ra
Fanbase,Cộng đồng người hâm mộ
Fashionable,Thời trang
Flashy,"Lòe loẹt, sặc sỡ"
Glamorous,"Quyến rũ, lộng lẫy"
Glitzy,"Lộng lẫy, sặc sỡ"
Gossip,"Tin đồn, lời đồn"
Groundbreaking,"Đột phá, sáng tạo"
Hard-working,Chăm chỉ
Hectic,"Bận rộn, nhộn nhịp"
High-end,"Cao cấp, đẳng cấp"
High-profile,Có sự quan tâm chú ý lớn
Hollywood,Kinh đô điện ảnh Mỹ
Icon,Biểu tượng
Iconic,"Mang tính biểu tượng, kinh điển"
Image manipulation,Sự thao túng hình ảnh
Industrious,"Chăm chỉ, siêng năng"
Influential,"Có ảnh hưởng, quyền lực"
Inspiring,Truyền cảm hứng
Invasion of privacy,Xâm phạm quyền riêng tư
Jet-setting,Sống xa hoa
Lavish,"Hoành tráng, xa xỉ"
Legal issues,Vấn đề pháp lý
Loving,"Yêu thương, ân cần"
Luxurious,"Sang trọng, xa hoa"
Luxury cars,Xe hạng sang
Made headlines,Gây tiêu điểm trên báo chí
Magnetic,"Có sức hút, hấp dẫn"
Media exposure,Sự xuất hiện trên truyền thông
Media frenzy,Sự náo loạn truyền thông
Media scrutiny,Sự theo dõi nghiêm ngặt của truyền thông
Meet and greet,Gặp gỡ và chào hỏi
Memorable,"Đáng nhớ, khó quên"
Mental health issues,Vấn đề sức khỏe tâm thần
Ostentatious,"Khoe khoang, phô trương"
Paparazzi,Thợ săn ảnh
Parties,Tiệc tùng
Persistent,"Kiên trì, bền bỉ"
Personal stylists,Nhà tạo mẫu cá nhân
Philanthropy,"Từ thiện, lòng nhân hậu"
Positive,"Tích cực, lạc quan"
Press conferences,Họp báo
Private,"Riêng tư, cá nhân"
Privileged,Có đặc quyền
Prominent,"Nổi bật, đáng chú ý"
Public backlash,Phản ứng phản đối từ công chúng
Public figure,Người nổi tiếng của công chúng
Public pressure,Áp lực từ công chúng
Red carpet,Thảm đỏ
Relentless,Không ngừng nghỉ
Resilient,"Kiên cường, bền bỉ"
Scandal,Vụ bê bối
Security detail,Đội bảo vệ
Skillful,"Khéo léo, có kỹ năng"
Social media presence,Hiện diện trên mạng xã hội
Socialite,Người nổi tiếng trong xã hội
Spotlight,Sự chú ý của dư luận
Stalking,"Theo dõi, bám theo"
Stardom,Sự nổi danh
Stylish,"Phong cách, lịch lãm"
Substance abuse,Lạm dụng chất gây nghiện
Superstar,Siêu sao
Tabloid,Báo lá cải
Talented,"Tài năng, năng khiếu"
Trend-setters,Người tạo xu hướng
Trendy,Thịnh hành
Unending perseverance,Sự kiên trì không ngừng
Versatile,"Đa năng, linh hoạt"
VIP,Người quan trọng
Wealthy,Giàu có
Well-connected,Có mối quan hệ rộng
Well-known,Nổi tiếng
