Access to quality education,Tiếp cận giáo dục chất lượng
Access to contraception,Tiếp cận phương pháp tránh thai
Access to affordable housing,Tiếp cận nhà ở phải chăng
Access to clean water,Tiếp cận nước sạch
Animal rights,Quyền của động vật
Bullying,Bắt nạt
Digital divide,Khoảng cách số
Gender equality,Bình đẳng giới
Gender pay gap,Chênh lệch thu nhập giới tính
Gender-based violence,Bạo lực dựa trên giới tính
Ageism,Phân biệt tuổi tác
Elder abuse,Lạm dụng người già
Elderly Care,Chăm sóc người cao tuổi
Foster care system,Hệ thống chăm sóc nuôi dưỡng
Freedom of speech,Tự do ngôn luận
Healthcare access,Tiếp cận dịch vụ y tế
Human trafficking,Buôn người
Human Rights,Quyền con người
Homelessness,Vô gia cư
Hunger,Nghèo đói
Income inequality,Bất bình đẳng thu nhập
Income support programs,Chương trình hỗ trợ thu nhập
Income tax reform,Cải cách thuế thu nhập
Internet censorship,Kiểm duyệt Internet
Climate Change,Biến đổi khí hậu
Cultural appropriation,Sự chiếm đoạt văn hóa
Mental health stigma,Kỳ thị sức khỏe tâm thần
Mental health care reform,Cải cách chăm sóc sức khỏe tâm thần
Mental Health,Sức khỏe tâm thần
Marriage equality,Bình đẳng hôn nhân
Poverty,Nghèo đói
Privacy,Quyền riêng tư
Prison reform,Cải cách hệ thống tù tội
Public transportation access,Tiếp cận giao thông công cộng
Public Health,Sức khỏe công cộng
Racism,Chủ nghĩa phân biệt chủng tộc
Racial profiling,Phân biệt chủng tộc
Cyberbullying,Bắt nạt trực tuyến
Cybercrime,Tội phạm mạng
Sexism,Chủ nghĩa phân biệt giới tính
Sexual assault,Tấn công tình dục
Censorship,Kiểm duyệt
Civil rights,Quyền dân sự
Social justice,Công bằng xã hội
Social media impact,Tác động của mạng xã hội
Social media addiction,Nghiện mạng xã hội
Social Services,Dịch vụ xã hội
Social Welfare,Phúc lợi xã hội
Social isolation,Cách ly xã hội
Social entrepreneurship,Doanh nghiệp xã hội
Social integration,Hội nhập xã hội
Social exclusion,Loại trừ xã hội
Social security,An sinh xã hội
Substance abuse,Lạm dụng chất gây nghiện
Terrorism,Khủng bố
Violence,Bạo lực
Voting rights,Quyền bỏ phiếu
Workplace harassment,Quấy rối tại nơi làm việc
Water scarcity,Sự khan hiếm nước
Deforestation,Phá rừng
Education funding,Quỹ tài trợ giáo dục
Education disparities,Sự chênh lệch giáo dục
Education gap,Khoảng cách giáo dục
Educational reform,Cải cách giáo dục
Globalization,Toàn cầu hóa
Homophobia,Kỳ thị đồng tính
Immigration policies,Chính sách nhập cư
Indigenous rights,Quyền của người bản địa
Indigenous land rights,Quyền sở hữu đất người bản địa
Inequality,Bất bình đẳng
Overpopulation,Dân số quá tải
Refugees,Người tị nạn
Rehabilitation programs,Chương trình phục hồi
Reproductive rights,Quyền sinh sản
Unemployment,Thất nghiệp
Xenophobia,Kỳ thị người ngoại quốc
Domestic Violence,Bạo lực gia đình
Discrimination,Phân biệt đối xử
Disability discrimination,Phân biệt đối xử người khuyết tật
Drug addiction treatment,Điều trị nghiện ma túy
Addiction,Nghiện
Affordable healthcare,Dịch vụ y tế phải chăng
Accessible infrastructure,Hạ tầng tiếp cận được
Fair wages,Lương công bằng
Forced labor,Lao động cưỡng bức
Forced marriage,Hôn nhân cưỡng bức
Food security,An ninh lương thực
Gun control,Kiểm soát vũ khí
Hate crimes,Tội ác do thù ghét
Environmental conservation,Bảo tồn môi trường
Environmental pollution,Ô nhiễm môi trường
Youth unemployment,Thất nghiệp ở thanh niên
Community development,Phát triển cộng đồng
Corruption,Tham nhũng
Migration,Di cư
Police brutality,Sự tàn bạo của cảnh sát
Political unrest,Bất ổn chính trị
Religious freedom,Tự do tôn giáo
Sustainable development,Phát triển bền vững
Transphobia,Kỳ thị chuyển giới
Child labor,Lao động trẻ em
Child marriage,Hôn nhân trẻ em
Child abuse,Lạm dụng trẻ em
Waste management,Quản lý chất thải
War,Chiến tranh
