24-hour customer support,Hỗ trợ khách hàng 24/7
Accommodation,Chỗ ở
Adventure,Phiêu lưu
Adventure sports,Môn thể thao phiêu lưu
Adventure tour,Tour phiêu lưu
Adventure tourism,Du lịch phiêu lưu
Airline,Hãng hàng không
Airport,Sân bay
Airport lounge,Khu chờ sân bay
Airport transfer,Dịch vụ đưa đón sân bay
Apartment,Căn hộ
Attractions,Điểm thu hút
Backpacker,Người du lịch bụi
Backpacking,Du lịch bụi
Bar,Quầy bar
Beach,Bãi biển
Beach tourism,Du lịch biển
Bed and Breakfast (B&B),Chỗ ở kèm bữa sáng
Bicycle rental,Cho thuê xe đạp
Biking,Đạp xe
Bus,Xe buýt
Cable car,Xe cáp treo
Café,Quán cà phê
Campground,Khu trại
Camping,Cắm trại
Campsite,Khu cắm trại
Canoeing,Chèo xuồng
Car rental,Cho thuê xe
Caravan,Xe dã ngoại
City tour,Tour tham quan thành phố
Concierge,Nhân viên tiếp tân
Cottage,Nhà nông nông thôn
Cruise,Chuyến du thuyền
Cruise package,Gói du thuyền
Cruise ship,Tàu du lịch
Cruise tourism,Du lịch du thuyền
Cuisine,Ẩm thực
Culinary tourism,Du lịch ẩm thực
Cultural performances,Biểu diễn văn hóa
Cultural tour,Tour văn hóa
Cultural tourism,Du lịch văn hóa
Culture,Văn hóa
Currency exchange,Đổi tiền tệ
Dark tourism,Du lịch tâm linh
Destination,Điểm đến
Ecotourism,Du lịch sinh thái
Educational tourism,Du lịch giáo dục
Enotourism,Du lịch rượu vang
Entertainment show,Buổi trình diễn giải trí
Event planning,Lập kế hoạch sự kiện
Exploration,Sự khám phá
Ferry,Phà
Festivals,Lễ hội
Fitness center,Trung tâm thể dục thể thao
Floating hotel,Khách sạn trên nước
Food tasting,Thử đồ ăn
Gondola,Thuyền Gondola
Group travel,Du lịch nhóm
Guesthouse,Nhà khách
Guide,Hướng dẫn viên
Guided excursion,Chuyến tham quan có hướng dẫn
Helicopter,Trực thăng
Heritage,Di sản
Heritage tourism,Du lịch di sản
Hiking,Leo núi
Historical tourism,Du lịch lịch sử
Historical tours,Tham quan di tích lịch sử
Holiday home,Nhà nghỉ dưỡng
Homestay,Ở nhà dân
Honeymoon tourism,Du lịch trăng mật
Horse-drawn carriage,Xe ngựa kéo
Horseback riding,Cưỡi ngựa
Hospitality,Sự hiếu khách
Host family,Gia đình chủ nhà
Hostel,Nhà trọ
Hot air balloon,Khinh khí cầu
Hotel,Khách sạn
Inn,Nhà trọ
Kayaking,Chèo kayak
Landmarks,Các điểm địa danh
Laundry service,Dịch vụ giặt ủi
Leisure,Thời gian rảnh rỗi
Local cuisine,Ẩm thực địa phương
Local transportation,Phương tiện giao thông địa phương
Lodge,Nhà nghỉ
Luggage storage,Dịch vụ giữ hành lý
Luxury tourism,Du lịch sang trọng
Motel,Nhà nghỉ
Mountain tourism,Du lịch núi
Museums,Bảo tàng
Nature,Thiên nhiên
Paragliding,Bay dù
Photography,Nhiếp ảnh
Pilgrimage,Hành hương
Rafting,Chèo thuyền
Relaxation,Sự thư giãn
Religious tourism,Du lịch tôn giáo
Resort,Khu nghỉ dưỡng
Restaurant,Nhà hàng
Rickshaw,Xe xích lô
Room service,Dịch vụ phòng
Rural tourism,Du lịch nông thôn
Safari,Du lị thám hiểm
Safari tourism,Du lịch Safari
Scenic photography,Ảnh cảnh đẹp
Scooter rental,Cho thuê xe Scooter
Scuba diving,Lặn biển với bình khí
Segway,Xe điện tự cân bằng
Shopping,Mua sắm
Shuttle service,Dịch vụ xe đưa đón
Sightseeing,Tham quan
Sightseeing bus,Xe buýt tham quan
Sightseeing tour,Tour tham quan
Sightseer,Người đi tham quan
Snorkeling,Lặn có ống thở
Souvenir,Quà lưu niệm
Souvenir shop,Cửa hàng đồ lưu niệm
Spa,"Spa, làm đẹp"
Sports tourism,Du lịch thể thao
Surfing,Lướt sóng
Sustainable tourism,Du lịch bền vững
Swimming,Bơi lội
Swimming pool,Bể bơi
Taxi,Xe taxi
Theme park,Công viên chủ đề
Ticket booking,Đặt vé
Tour bus,Xe du lịch
Tour guide,Hướng dẫn viên du lịch
Tour operator,Công ty du lịch
Package tour,Chuyến du lịch trọn gói
Tourism,Du lịch
Tourism industry,Ngành du lịch
Tourist,Du khách
Train,Tàu hỏa
Tram,Xe điện
Translation services,Dịch vụ dịch thuật
Transportation,Phương tiện vận chuyển
Travel,Du lịch
Travel adapter,Bộ chuyển đổi điện du lịch
Travel agency,Công ty du lịch
Travel consultation,Tư vấn du lịch
Travel insurance,Bảo hiểm du lịch
Travel itinerary,Lịch trình du lịch
Travel SIM card,Thẻ SIM du lịch
Travel vaccinations,Tiêm phòng du lịch
Travel visa,Visa du lịch
Treehouse,Nhà cây
Tuk-tuk,Xe tuk tuk
Urban tourism,Du lịch đô thị
Vacation,Kỳ nghỉ
Vacation rental,Cho thuê phòng nghỉ
Villa,Biệt thự
Visa assistance,Hỗ trợ xin visa
Volunteer tourism,Du lịch tình nguyện
Wellness tourism,Du lịch chăm sóc sức khỏe
Whale watching,Quan sát cá voi
Wi-Fi access,Truy cập Wi-Fi
Wildlife,Động vật hoang dã
Wildlife safari,Đi săn hoang dã
Wildlife sanctuary,Khu bảo tồn động vật hoang dã
Wildlife tourism,Du lịch hoang dã
Zip-lining,Chèo dây cáp
