Analytical chemistry,Hóa học phân tích
Anatomy,Giải phẫu học
Animal behavior,Hành vi động vật
Animal physiology,Sinh lý động vật
Artificial intelligence,Trí tuệ nhân tạo
Asteroid,Thiên thạch
Astrobiology,Sinh học thiên văn
Astrochemistry,Hóa học thiên văn
Astrogeology,Địa chất thiên văn
Astronaut,Nhà du hành vũ trụ
Astronomy,Thiên văn học
Astrophysics,Vật lý thiên văn
Atomic structure,Cấu trúc nguyên tử
Biochemistry,Sinh hóa học
Biodiversity,Đa dạng sinh học
Bioengineering,Công nghệ sinh học
Bioethics,Đạo đức sinh học
Bioinformatics,Sinh học thông tin
Biology,Sinh học
Biomechanics,Cơ học sinh học
Biomechatronics,Cơ học sinh học điện tử
Biophysics,Vật lý sinh học
Biotechnology,Công nghệ sinh học
Black hole,Lỗ đen
Botany,Thực vật học
Cell biology,Sinh học tế bào
Cell division,Phân chia tế bào
Chemical reactions,Phản ứng hóa học
Chemistry,Hóa học
Climate change,Biến đổi khí hậu
Climate modeling,Mô hình hóa khí hậu
Climatology,Khí hậu học
Cognitive neuroscience,Thần kinh học nhận thức
Cognitive science,Khoa học nhận thức
Comet,Sao chổi
Computational biology,Sinh học tính toán
Conservation biology,Sinh học bảo tồn
Cosmology,Vũ trụ học
Cosmonaut,Nhà du hành vũ trụ Nga
Cybernetics,Kỹ thuật điều khiển
Dark matter,Vật chất tối
Earthquake,Động đất
Ecology,Sinh thái học
Electromagnetism,Điện từ học
Endocrinology,Nội tiết học
Environmental chemistry,Hóa học môi trường
Environmental impact assessment,Đánh giá tác động môi trường
Environmental science,Khoa học môi trường
Epidemiology,Dịch tễ học
Evolution,Tiến hóa
Evolutionary biology,Sinh học tiến hóa
Exoplanet,"Hành tinh ngoài hệ Mặt Trời"
Extraterrestrial,Ngoài trái đất
Galaxy,Ngân hà
Genetic counseling,Tư vấn di truyền
Genetic engineering,Công nghệ di truyền
Genetic variation,Biến thể di truyền
Genetics,Di truyền học
Genome sequencing,Xác định trình tự gen
Geology,Địa chất học
Geophysics,Địa vật lý
Gravity,Trọng lực
Hubble Space Telescope,Kính viễn vọng Hubble
Immunology,Miễn dịch học
Immunotherapy,Điều trị miễn dịch
Inorganic chemistry,Hóa học vô cơ
International Space Station,Trạm không gian quốc tế ISS
Interstellar,Liên sao
Lunar,Liên quan đến mặt trăng
Lunar module,Mô-đun mặt trăng
Marine biology,Sinh học biển
Mars Rover,Xe thám hiểm sao Hỏa
Martian,Liên quan đến sao Hỏa
Meteor,Sao băng
Microbial ecology,Sinh thái vi khuẩn
Microbiology,Vi sinh học
Microscopy,Kỹ thuật viễn thị
Molecular biology,Sinh học phân tử
Molecular genetics,Di truyền phân tử
Moon landing,Hạ cánh trên mặt trăng
Nanotechnology,Công nghệ nano
Nebula,Tinh vân
Neurochemistry,Hóa học thần kinh
Neuropsychology,Tâm lý học thần kinh
Neuroscience,Khoa học thần kinh
Nuclear energy,Năng lượng hạt nhân
Nuclear physics,Vật lý hạt nhân
Oceanography,Đại dương học
Optics,Quang học
Orbit,Quỹ đạo
Organic chemistry,Hóa học hữu cơ
Paleontology,Cổ sinh vật học
Petrology,Đá chất học
Pharmacology,Dược lý học
Photosynthesis,Quang hợp
Physical chemistry,Hóa học vật lý
Physics,Vật lý
Physiology,Sinh lý học
Planetary science,Khoa học hành tinh
Plant physiology,Sinh lý thực vật
Polymer chemistry,Hóa học polymer
Proteomics,Các protein học
Psychology,Tâm lý học
Quantum computing,Tính toán lượng tử
Quantum mechanics,Cơ học lượng tử
Quantum theory,Lý thuyết lượng tử
Respiration,Hô hấp
Robotics,Robot học
Rocket,Tên lửa
Satellite,Vệ tinh
Seismology,Địa chấn học
Solar system,Hệ mặt trời
Space agency,Cơ quan vũ trụ
Space colonization,Khai phá không gian
Space debris,Mảnh vỡ không gian
Space engineering,Kỹ thuật vũ trụ
Space exploration,Khám phá không gian
Space exploration missions,Nhiệm vụ khám phá không gian
Space mission,Nhiệm vụ không gian
Space physics,Vật lý không gian
Space probe,Tàu thăm dò không gian
Space research,Nghiên cứu vũ trụ
Space shuttle,Tàu con thoi
Space station,Trạm không gian
Space technology,Công nghệ vũ trụ
Space telescope,Kính viễn vọng không gian
Space tourism,Du lịch không gian
Space-time,Không gian - Thời gian
Spacecraft,Tàu vũ trụ
Spacewalk,Đi bộ không gian
Star,Ngôi sao
Stellar evolution,Tiến hóa ngôi sao
Supernova,Siêu tân tinh
Thermodynamics,Nhiệt động học
Virology,Vi trùng học
Volcanology,Núi lửa học
Zoology,Động vật học
