Acupuncture,Châm cứu
Aerobics,Aerobic
Allergy,Dị ứng
Alternative medicine,Y học thay thế
Anemia,Thiếu máu
Anesthesia,Gây mê
Antibiotics,Kháng sinh
Anxiety,Lo âu
Asthma,Hen suyễn
Balance,Cân bằng
Balanced diet,Chế độ ăn uống cân đối
Bandage,Băng bó
Blood pressure,Huyết áp
Blood sugar,Đường huyết
Blood test,Xét nghiệm máu
Bones,Xương
Cancer,Ung thư
Cardiovascular,Liên quan đến tim mạch
Cardiovascular exercise,Bài tập tim mạch
Chiropractic,Trị liệu thần kinh cột sống
Chiropractor,Bác sĩ chỉnh hình
Cholesterol,Mỡ máu
Circulatory system,Hệ tuần hoàn
Cleanliness,Sự sạch sẽ
CT scan (Computed Tomography),Xét nghiệm CT
Dehydration,Sự mất nước
Depression,Trầm cảm
Detoxification,Sự thanh lọc cơ thể
Diabetes,Tiểu đường
Diagnosis,Chẩn đoán
Digestive,Liên quan đến tiêu hóa
Digestive system,Hệ tiêu hóa
Disease,Bệnh tật
Doctor,Bác sĩ
Emergency,Tình trạng khẩn cấp
Emotional well-being,Tình trạng tâm lý tốt
Endocrine system,Hệ nội tiết
Exercise,Tập luyện
Fatigue,Mệt mỏi
Fever,Sốt
First aid,Sơ cứu
Fitness,Tình trạng thể chất
Flexibility,Độ linh hoạt
Fracture,Gãy xương
Headache,Đau đầu
Health,Sức khỏe
Health insurance,Bảo hiểm sức khỏe
Health screening,Kiểm tra sức khỏe
Healthy eating,Ăn uống lành mạnh
Healthy lifestyle,Lối sống lành mạnh
Heart,Trái tim
Heart attack,Nhồi máu cơ tim
Heart rate,Nhịp tim
Herbal medicine,Dược thảo
Herbal remedies,Phương pháp chữa bằng thảo dược
High blood pressure,Huyết áp cao
Homeopathy,Y học cổ truyền
Hospital,Bệnh viện
Hydration,Sự cung cấp nước
Hygiene,Vệ sinh
Hypertension,Tăng huyết áp
Illness,Ốm
Immune system,Hệ miễn dịch
Infection,Nhiễm trùng
Injury,Chấn thương
Insomnia,Chứng mất ngủ
Joints,Khớp
Kidneys,Thận
Liver,Gan
Lungs,Phổi
Medical check-up,Khám sức khỏe định kỳ
Medication,Thuốc
Mental health,Sức khỏe tâm thần
Mindfulness,Sự tỉnh thức
Minerals,Khoáng chất
MRI (Magnetic Resonance Imaging),Cộng hưởng từ
Muscles,Cơ bắp
Nervous system,Hệ thần kinh
Nurse,Y tá
Nutrients,Chất dinh dưỡng
Nutrition,Dinh dưỡng
Nutritional supplements,Thực phẩm bổ sung dinh dưỡng
Obesity,Béo phì
Occupational therapy,Trị liệu nghề nghiệp
Pain reliever,Thuốc giảm đau
Pharmacy,Nhà thuốc
Physical activity,Hoạt động thể chất
Physical health,Sức khỏe thể chất
Physical therapy,Vật lý trị liệu
Pilates,Bài tập Pilates
Prescription,Đơn thuốc
Prevention,Phòng ngừa
Preventive care,Chăm sóc phòng ngừa
Rehabilitation,Phục hồi chức năng
Rehabilitation center,Trung tâm phục hồi chức năng
Respiratory,Hô hấp
Respiratory rate,Nhịp thở
Respiratory system,Hệ hô hấp
Rest,Nghỉ ngơi
Sleep,Giấc ngủ
Speech therapy,Trị liệu nói
Sprain,Trẹo cơ
Stamina,Sức bền
Strength training,Tập sức mạnh
Stress,Căng thẳng
Stress management,Quản lý căng thẳng
Stroke,Đột quỵ
Superfood,Thực phẩm siêu dinh dưỡng
Surgery,Phẫu thuật
Symptoms,Triệu chứng
Therapy,Điều trị
Treatment,Điều trị
Ultrasound,Siêu âm
Vaccination,Tiêm chủng
Vitamins,Vitamin
Weight,Cân nặng
Weight gain,Tăng cân
Weight loss,Giảm cân
Well-being,Hạnh phúc
Wellness,Sự khỏe mạnh
Wellness program,Chương trình chăm sóc sức khỏe
Wound,Vết thương
X-ray,X-quang
Yoga,Yoga
