Accent chair,Ghế nhấn điểm
Alarm system,Hệ thống báo động
Apartment,Căn hộ
Appliances,Thiết bị gia dụng
Arcade,Lối đi có mái che
Arch,Cầu vòm
Architecture,Kiến trúc
Archway,Cổng vòm
Armchair,Ghế có tay vịn
Atrium,Sảnh trung tâm
Attic,Gác mái
Backyard,Sân sau nhà
Balcony,Ban công
Balustrade,Lan can
Bar cart,Xe đẩy đồ uống
Bar stool,Ghế cao
Basement,Tầng hầm
Bathroom,Phòng tắm
Beam,Dầm
Bean bag chair,Ghế túi hạt
Bed,Giường
Bedroom,Phòng ngủ
Bench,Ghế dài
Blueprint,Bản thiết kế
Bookshelf,Kệ sách
Bridge,Cầu
Buffet,Tủ buffet
Bungalow,Nhà gỗ một tầng
Bunk bed,Giường tầng
Cabinet,Tủ
Campanile,Tháp chuông
Canopy,Mái che
Carpet,Thảm
Chair,Ghế
Chaise lounge,Ghế dài nằm
Changing table,Bàn thay tã
Chest of drawers,Tủ có nhiều ngăn kéo
Closet,Tủ quần áo
Coat rack,Giá treo áo
Coffee table,Bàn uống cà phê
Column,Cột
Computer desk,Bàn máy tính
Condo,Căn hộ chung cư
Condominium,Căn hộ chung cư
Console table,Bàn trang trí
Construction,Xây dựng
Cooling,Hệ thống làm mát
Cornice,Gờ trên cùng của tường
Cottage,Nhà gỗ
Counter height table,Bàn cao
Courtyard,Sân trong
Crib,Giường cũi
Cupola,Mái vòm nhỏ
Daybed,Giường ban ngày
Decor,Trang trí nội thất
Design,Thiết kế
Desk,Bàn làm việc
Dining room,Phòng ăn
Dining table,Bàn ăn
Display cabinet,Tủ trưng bày
Dome,Mái vòm
Door,Cửa
Dormer,Mái nhà phụ
Dresser,Tủ đựng đồ
Driveway,Lối vào sân nhà
Duplex,Nhà hai tầng độc lập
Eaves,Mái hiên
Electricity,Điện
End table,Bàn bên cạnh
Entertainment center,Kệ giải trí
Exterior,Bên ngoài
Facade,Mặt tiền
Fascia,Vách ngăn
Fence,Hàng rào
Filing cabinet,Tủ hồ sơ
Fireplace,Lò sưởi
Fireplace mantel,Nón lò sưởi
Flat,Căn hộ
Floor,Sàn
Floor plan,Bản vẽ mặt bằng
Foundation,Nền móng
Fountain,Đài phun nước
Front door,Cửa chính
Furniture,Nội thất
Futon,Giường lật
Gable,Mái ngói
Garage,Gara
Garden,Vườn
Gate,Cổng
Gazebo,Hiên nhỏ
Hammock,Võng
Headboard,Đầu giường
Heating,Hệ thống sưởi
High chair,Ghế cao
High-rise,Tòa nhà cao tầng
Home,Ngôi nhà
House,Nhà
Housing market,Thị trường bất động sản
Insulation,Vật liệu cách nhiệt
Intercom,Hệ thống nội bộ
Interior,Nội thất
Interior design,Thiết kế nội thất
Kitchen,Nhà bếp
Landlord,Chủ nhà
Landscape,Cảnh quan
Lease,Hợp đồng thuê
Lighting,Hệ thống chiếu sáng
Living room,Phòng khách
Loft,Căn hộ gác lửng
Loveseat,Ghế tình nhân
Low-rise,Tòa nhà thấp tầng
Mansard,Mái hai nước
Mansion,Biệt thự lớn
Mattress,Nệm
Minaret,Tháp đền Hồi giáo
Mirror,Gương
Mortgage,Thế chấp
Murphy bed,Giường gấp vào tường
Neighborhood,Khu phố
Nightstand,Bàn đầu giường
Office chair,Ghế văn phòng
Ottoman,Ghế đẩu
Outdoor dining set,Bộ bàn ăn ngoài trời
Paint,Sơn
Palladian,Phong cách kiến trúc Palladian
Parapet,Bức tường bảo vệ
Park,Công viên
Patio,Sân hiên
Patio furniture,Đồ ngoài trời
Pediment,Mái ngói tam giác
Penthouse,Căn hộ cao cấp trên tầng thượng
Pergola,Mái che trong vườn
Picnic table,Bàn dã ngoại
Plant stand,Giá đỡ cây
Plaza,Quảng trường
Plumbing,Hệ thống ống nước
Portico,Hành lang
Pouf,Đôn nhỏ
Property,Tài sản
Quoin,Góc tường
Ranch,Nhà xưởng nông trại
Real estate,Bất động sản
Recliner,Ghế ngả lưng
Renovation,Sửa chữa cải tạo
Rent,Thuê
Residential,Khu dân cư
Rocking chair,Ghế bập bênh
Rocking horse,Ngựa bập bênh
Roof,Mái nhà
Room,Phòng
Room divider,Bộ chia phòng
Rotunda,Hành lang tròn
Sectional sofa,Ghế sofa góc
Security,An ninh
Shelves,Kệ sách
Shoe rack,Giá để giày
Side table,Bàn bên cạnh
Sideboard,Tủ bày đồ
Skyscraper,Tòa nhà chọc trời
Smart home,Nhà thông minh
Sofa,Ghế sofa
Soffit,Mặt trần
Spire,Đầu nhọn
Staircase,Cầu thang
Stairs,Cầu thang
Stool,Ghế đẩu
Structure,Kết cấu
Studio,Căn hộ đơn
Suburb,Ngoại ô
Sun lounger,Ghế tắm nắng
Swing chair,Ghế xích đu
Table,Bàn
Tenant,Người thuê
Terrace,Sân thượng
Tower,Tháp
Townhouse,Nhà liền kề
Trundle bed,Giường kéo
Turret,Tháp nhỏ
TV stand,Kệ đỡ TV
Umbrella stand,Giá để ô
Vanity,Bàn trang điểm
Veranda,Hè phố
Villa,Biệt thự
Wall,Tường
Wall-mounted shelves,Kệ treo tường
Wardrobe,Tủ quần áo
Window,Cửa sổ
Wine rack,Kệ đựng rượu
Writing desk,Bàn viết
