3D printing,In 3D
Advancement,"Sự tiến bộ, sự phát triển"
Algorithm,Thuật toán
Artificial intelligence (AI),Trí tuệ nhân tạo
Augmented reality (AR),Thực tế tăng cường
Automation,Tự động hóa
Big data,Dữ liệu lớn
Biometric authentication,Xác thực sinh trắc học
Biometrics,Sinh trắc học
Cloud computing,Máy chủ đám mây
Cloud storage,Lưu trữ đám mây
Cloud-based services,Dịch vụ dựa trên đám mây
Coding,Lập trình
Computer age,Kỷ nguyên máy tính
Computer programming languages,Ngôn ngữ lập trình máy tính
Cryptocurrency,Tiền điện tử
Cybercrime,Tội phạm mạng
Cybernetics,Cơ học điều khiển
Cybersecurity,An ninh mạng
Data analysis,Phân tích dữ liệu
Data breach,Xâm nhập dữ liệu
Data encryption,Mã hóa dữ liệu
Data management,Quản lý dữ liệu
Data privacy,Sự riêng tư dữ liệu
Data recovery,Khôi phục dữ liệu
Data storage,Lưu trữ dữ liệu
Data transfer,Truyền dữ liệu
Digital advertising,Quảng cáo số
Digital divide,Khoảng cách kỹ thuật số
Digital economy,Kinh tế số
Digital footprint,Dấu vết số
Digital marketing,Tiếp thị số
Digital transformation,Chuyển đổi số
Digitalization,Sự số hóa
Drones,Máy bay không người lái
E-commerce,Thương mại điện tử
Energy efficiency,Hiệu suất năng lượng
Genetic engineering,Kỹ thuật di truyền
GPS navigation,Định vị GPS
Hacking,Đánh cắp thông tin
High-speed internet,Internet tốc độ cao
Information security,An ninh thông tin
Information sharing,Chia sẻ thông tin
Information technology (IT),Công nghệ thông tin
Innovation,"Sự đổi mới, sự sáng tạo"
Innovation hub,Trung tâm đổi mới
Internet access,Truy cập internet
Internet addiction,Nghiện Internet
Internet browsing,Lướt web
Internet censorship,Kiểm duyệt Internet
Internet connectivity,Kết nối Internet
Internet of Things (IoT),Internet vạn vật
Internet protocols,Giao thức Internet
Internet security,An ninh Internet
Internet service provider (ISP),Nhà cung cấp dịch vụ internet
Internet speed,Tốc độ Internet
IT consulting,Tư vấn công nghệ thông tin
IT infrastructure,Cơ sở hạ tầng công nghệ thông tin
IT support,Hỗ trợ công nghệ thông tin
Machine learning,Học máy
Mobile applications,Ứng dụng di động
Mobile network,Mạng di động
Mobile technology,Công nghệ di động
Nanotechnology,Công nghệ nano
Network administration,Quản trị mạng
Network congestion,Tắc nghẽn mạng
Network infrastructure,Cơ sở hạ tầng mạng
Network monitoring,Giám sát mạng
Network reliability,Đáng tin cậy mạng lưới
Network security,An ninh mạng
Online banking,Ng Ngân hàng trực trực tuyến
Online collaboration,Cộng tác trực tuyến
Online education,Giáo dục trực tuyến
Online gaming,Trò chơi trực tuyến
Online privacy,Quyền riêng tư trực tuyến
Online shopping,Mua sắm trực tuyến
Privacy concerns,Quan ngại về sự riêng tư
Privacy settings,Thiết lập quyền riêng tư
Programming,Lập trình
Remote access,Truy cập từ xa
Renewable energy,Năng lượng tái tạo
Renewable resources,Tài nguyên tái tạo
Robotics,Robot học
Smart homes,Nhà thông minh
Social media,Mạng xã hội
Software development,Phát triển phần mềm
Software engineering,Kỹ thuật phần mềm
Software updates,Cập nhật phần mềm
Streaming services,Dịch vụ phát trực tuyến
Sustainable technology,Công nghệ bền vững
System integration,Tích hợp hệ thống
Tech startup,Công ty khởi nghiệp công nghệ
Tech-savvy,Thành thạo công nghệ
Technological advancements,Tiến bộ công nghệ
Technological revolution,Cuộc cách mạng công nghệ
Telecommunications,Viễn thông
Telecommuting,Làm việc từ xa
User experience (UX),Trải nghiệm người dùng
User interface (UI),Giao diện người dùng
Video conferencing,Hội nghị trực tuyến
Virtual private network (VPN),Mạng riêng ảo
Virtual reality (VR),Thực tế ảo
Wearable devices,Thiết bị đeo được
Web development,Phát triển web
Web hosting,Lưu trữ web
Wireless communication,Giao tiếp không dây
Wireless network,Mạng không dây
